Award Name,Product Name,Image URL
Giải Đặc Biệt,Nồi cơm cao tần Toshiba RC-10IP1PV dung tích 1 lít,https://dienmayquanghanh.com/Upload/avatar/content-2024-4/ava-noi-com-cao-tan-toshiba-rc-10ip1pv.jpg
Giải 1,Máy ép chậm BlueStone SJB-6557,https://cdnv2.tgdd.vn/mwg-static/dmx/Products/Images/2062/338017/may-ep-cham-bluestone-sjb-6557-1-638851630296456586-700x467.jpg
Giải 2,Nồi chiên không dầu BlueStone 9 lít AFB-5886,https://cdnv2.tgdd.vn/mwg-static/dmx/Products/Images/9418/331576/noi-chien-khong-dau-bluestone-afb-5886-9-lit-1-638669135978764033-700x467.jpg
Giải 3,Nồi áp suất điện Tefal CY601868 6 lít,https://cdn.tgdd.vn/Products/Images/1984/247531/dien-tefal-cy601868-6-lit-1-1-700x467.jpg
Giải 4,Nồi lẩu hấp điện đa năng BlueStone MPB-7235,https://thegioidodung.vn/wp-content/uploads/2024/10/Noi-lau-hap-da-nang-MPB-7235-ava.jpg
Giải 5,Máy sấy tóc tốc độ cao Sunhouse SHD2323,https://cdnv2.tgdd.vn/mwg-static/dmx/Products/Images/1991/339487/may-say-toc-sunhouse-shd2323-m-4-638866296351568917-700x467.jpg
Giải 6,Máy hút bụi cầm tay Midea MVC- SC861B,https://mayvesinh.vn/wp-content/uploads/2025/07/DX118C.jpg
Giải May Mắn,Giải may mắn,https://bkaii.com.vn/images/HOP-GIAY-DUNG-QUA-GIA-RE-1.png



